feature,importance
num__Age,0.11853814744858822
num__Ki67,0.10719057410828092
num__Tumor_size_cm,0.09350237207963388
num__PR_percent,0.09166816858599301
num__ER_percent,0.07886267745139042
num__Positive_axillary_lymph_nodes,0.06775015206834795
cat__PAM50_Normal,0.048109029430476964
cat__PAM50_LumA,0.04752975888652469
num__HER2_IHC_Status,0.04645427388301071
cat__PAM50_LumB,0.046345729004588394
cat__Grade_3,0.025105737216841836
cat__PAM50_Her2,0.022327470437541547
cat__Grade_2,0.020987383678887517
cat__pN_pN1,0.019856034934016616
cat__Menopause_Yes,0.018628587989362465
cat__pN_pN0,0.018319814864258148
cat__Menopause_No,0.018063560664740068
cat__pT_pT2,0.016117350176408154
cat__pN_pN2,0.015847121179631628
cat__pT_pT1,0.014366185716133904
