rank,name,fit_ok,weighted_auc,weighted_auc_ci_lo,weighted_auc_ci_hi,macro_auc,macro_auc_ci_lo,macro_auc_ci_hi,seconds,auc_SNF1,auc_SNF2,auc_SNF3,auc_SNF4
1,LogReg-L1,True,0.7125393731628704,0.6730811014606455,0.7518575928782617,0.7070978228952064,0.6661327082094787,0.7468101404700838,3.0,0.7810881965774463,0.6161334591302856,0.7514003055212046,0.6797693303518889
2,OvR-LogReg-L1,True,0.7085914390100251,0.6715920902028293,0.7502719808760187,0.7033416428336817,0.6604415805256405,0.7449478359394837,3.04,0.7808688021061869,0.6289561711982159,0.7363061031497781,0.6672354948805461
3,LDA,True,0.707184945892544,0.662382630062773,0.7500491464764174,0.702160286688049,0.655225788470478,0.7447081622081246,2.9,0.7627906976744186,0.615533064585299,0.748017749327126,0.6822996351653524
4,OvR-LogReg,True,0.7039054131749949,0.6623815615390076,0.7470569404647573,0.6993481186815268,0.656724635687235,0.741507072885215,2.99,0.7738920579201404,0.6082854447208165,0.7382701680366626,0.6769448040484877
5,LogisticRegression,True,0.703602935822098,0.6596147016338194,0.7462321684764638,0.6972214591897901,0.6538813330593826,0.7379338912205601,2.93,0.769811320754717,0.6054550132944506,0.7480904924710847,0.6655290102389078
6,OvR-RandomForest,True,0.6987234572223529,0.6600205824445344,0.740935969275983,0.693912155052485,0.6541256485770265,0.7355520968490109,14.99,0.7867924528301886,0.6083497727077793,0.7229213646613806,0.657585030010592
7,LinearSVM,True,0.6967266422224115,0.6572053549105221,0.7404086296108623,0.6928712790033611,0.6521578573686395,0.7328846785595111,3.03,0.7757349714787187,0.5722617720216142,0.7390703426202081,0.6844180298929033
8,RandomForest,True,0.6942285799967047,0.655451917177604,0.7351644907559695,0.6894651532190509,0.6472616741547649,0.7312296285628115,6.13,0.7920140412461606,0.5846127455184835,0.7236487961009674,0.657585030010592
9,OvR-LinearSVM,True,0.6862475240645589,0.6458104396051779,0.7301714441535101,0.6824145458662216,0.6411752778326699,0.72300686273343,3.15,0.7667836770513382,0.5911313148640536,0.7126282097912272,0.6591149817582677
10,GaussianNB,True,0.6769529714777432,0.6375732218594807,0.715566054958404,0.6693921911236199,0.6284319469719837,0.7095694612588082,2.94,0.731154014918824,0.6070846556308431,0.7169927984287481,0.6223372955160645
11,ExtraTrees,True,0.6730874929025299,0.6337916986384949,0.7149142751491845,0.6680445710005781,0.6274935212210826,0.706286939276086,5.56,0.7724879333040808,0.5651428081310576,0.7019713392012802,0.6325762033658938
12,OvR-XGBoost,True,0.667153045508921,0.6275845807004511,0.7084816662266341,0.6639824851938662,0.6195883791969274,0.7061194304366586,4.11,0.746072838964458,0.5878291448666266,0.6835673237797337,0.6384606331646464
13,RBF-SVM,True,0.6641960695522888,0.627639251219715,0.710932493812167,0.6529157014892695,0.6150182549454603,0.6977388748768332,2.99,0.7761298815269855,0.5396260399691226,0.7199388957590747,0.5759679887018948
14,XGBoost,True,0.6615529756395354,0.6189510314389205,0.7024427575850216,0.6588901817833219,0.6139062788155635,0.6987362491152501,4.37,0.7384817902588855,0.5880435714898362,0.6739288572052085,0.6351065081793575
15,HistGradientBoosting,True,0.657887917943832,0.6171783397613093,0.7009079221149672,0.6556004628719783,0.6154117938557695,0.6967029837109678,5.71,0.7183413777972795,0.5883008834376876,0.6744744307848984,0.6412851594680475
16,OvR-LightGBM,True,0.6574712123815746,0.6198321184585893,0.6961145632444303,0.6517697157884297,0.6103765736221529,0.6917291799305801,3.95,0.739271610355419,0.5979929668067587,0.6720739070342621,0.597740378957279
17,QDA,True,0.6560166528866034,0.6147204159637467,0.6981621119117627,0.6487986411416983,0.6061798979583146,0.6910464713005674,2.9,0.7355419043440106,0.5735483317608714,0.6894231468684077,0.5966811815935036
18,DecisionTree,True,0.6542173142669575,0.6157948508203287,0.6924828092581896,0.6540853871647866,0.6125931527474084,0.6936623025394149,2.87,0.7428696796840719,0.5993867398576207,0.6416854586455226,0.6323996704719312
19,GradientBoosting,True,0.6537825245218103,0.6103740766017627,0.6945472320027887,0.6531359300511925,0.6091033260652372,0.6917940096866037,5.7,0.7351031154014919,0.5567372845012437,0.6684731214083073,0.6522301988937272
20,KNN,True,0.650728724490208,0.609435639220129,0.6968736362393753,0.6414971418322242,0.600381928291809,0.6851688732697591,2.94,0.7474330846862659,0.5485676301569603,0.6940787080817633,0.5759091444039073
21,LightGBM,True,0.6499705816996942,0.6120678950365656,0.6890612210074308,0.6456905931714958,0.6069660013771077,0.6856823477678351,4.18,0.739622641509434,0.5922463333047431,0.6545064377682404,0.596386960103566
22,MLP,True,0.6351500244089151,0.5941218092016676,0.6778226113610442,0.6305251437401028,0.5932523166981493,0.6715486412092692,4.7,0.7485739359368144,0.5216142036195214,0.6587619116898233,0.593150523714252
